,confidence,file_name,frame_id,object_class_id,object_name,resolution
0,0.944417,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000001.jpg,1.0,14.0,person,480
1,0.826577,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000002.jpg,2.0,18.0,train,480
2,0.286545,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000003.jpg,3.0,8.0,chair,480
3,0.848458,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
4,0.781656,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
5,0.77137,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
6,0.767678,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
7,0.616745,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
8,0.576434,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
9,0.408798,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,480
10,0.975633,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,10.0,diningtable,480
11,0.69312,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,8.0,chair,480
12,0.691403,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,8.0,chair,480
13,0.587589,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,8.0,chair,480
14,0.858121,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000008.jpg,6.0,8.0,chair,480
15,0.367707,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000008.jpg,6.0,8.0,chair,480
16,0.87156,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000010.jpg,7.0,14.0,person,480
17,0.762828,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000010.jpg,7.0,12.0,horse,480
18,0.882948,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000011.jpg,8.0,11.0,dog,480
19,0.840442,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000011.jpg,8.0,7.0,cat,480
20,0.877538,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000013.jpg,9.0,9.0,cow,480
