,confidence,file_name,frame_id,object_class_id,object_name,resolution
0,0.964096,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000001.jpg,1.0,14.0,person,352
1,0.762733,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000001.jpg,1.0,11.0,dog,352
2,0.710006,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000002.jpg,2.0,18.0,train,352
3,0.855909,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
4,0.739808,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
5,0.700913,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
6,0.677867,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
7,0.557803,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
8,0.529305,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
9,0.423632,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000004.jpg,4.0,6.0,car,352
10,0.848686,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,10.0,diningtable,352
11,0.727732,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,8.0,chair,352
12,0.659301,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,8.0,chair,352
13,0.492011,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000006.jpg,5.0,8.0,chair,352
14,0.806891,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000008.jpg,6.0,8.0,chair,352
15,0.873721,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000010.jpg,7.0,14.0,person,352
16,0.861837,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000010.jpg,7.0,12.0,horse,352
17,0.700998,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000011.jpg,8.0,11.0,dog,352
18,0.769808,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000011.jpg,8.0,7.0,cat,352
19,0.455503,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000013.jpg,9.0,9.0,cow,352
20,0.455076,/home/jayne/darknet/VOCdevkit/VOC2007/JPEGImages/000013.jpg,9.0,16.0,sheep,352
